ID,FirstName,LastName,Grade,GPA,BirthDate,Gender,ClassRank,AttendPct,Honors,Sports,ClubCount
0001,John,Smith,09,3.85,2009-05-12,M,045,97.3,Y,Football,2
0002,Emily,Johnson,12,4.00,2006-11-03,F,001,99.1,Y,Swim,3
0003,Michael,Williams,10,3.42,2008-07-22,M,078,94.5,N,None,1
0004,Jessica,Brown,11,3.78,2007-03-15,F,032,98.0,Y,Soccer,2
0005,David,Jones,09,3.21,2009-01-30,M,103,92.7,N,Baseball,1
0006,Sarah,Garcia,12,3.95,2006-09-17,F,003,99.5,Y,Track,4
0007,Christopher,Miller,10,3.33,2008-04-05,M,089,93.2,N,None,2
0008,Amanda,Davis,11,3.88,2007-08-26,F,022,98.7,Y,Volleybal,3
0009,Matthew,Rodriguez,09,3.45,2009-07-11,M,076,95.1,N,Basketbal,1
0010,Jennifer,Martinez,12,3.92,2006-12-09,F,007,97.9,Y,None,3
0011,Joshua,Hernandez,10,3.65,2008-02-14,M,051,96.3,Y,Soccer,2
0012,Ashley,Lopez,11,3.21,2007-11-20,F,097,91.5,N,Cheer,1
0013,Daniel,Gonzalez,09,3.79,2009-04-03,M,037,97.5,Y,Football,3
0014,Stephanie,Wilson,12,3.51,2006-08-27,F,056,94.8,N,Basketbal,2
0015,Andrew,Anderson,10,3.24,2008-06-18,M,099,90.7,N,Baseball,1
0016,Melissa,Thomas,11,3.98,2007-01-31,F,012,99.3,Y,Track,3
0017,James,Taylor,09,3.41,2009-09-22,M,081,93.4,N,None,2
0018,Nicole,Moore,12,3.85,2006-05-14,F,018,97.6,Y,Swim,1
0019,Ryan,Jackson,10,3.72,2008-11-09,M,043,96.8,Y,Basketbal,2
0020,Heather,Martin,11,3.15,2007-07-25,F,105,89.5,N,None,0
0021,Brandon,Lee,09,3.95,2009-03-05,M,015,98.9,Y,Track,3
0022,Rachel,Perez,12,3.48,2006-10-11,F,062,94.2,N,Volleybal,1
0023,Jason,Thompson,10,3.37,2008-01-29,M,085,92.1,N,Football,2
0024,Lauren,White,11,3.99,2007-05-17,F,002,99.8,Y,Cheer,4
0025,Justin,Harris,09,3.22,2009-08-09,M,107,90.3,N,Soccer,1
0026,Elizabeth,Sanchez,12,3.75,2006-02-23,F,034,96.5,Y,Track,2
0027,Kevin,Clark,10,3.44,2008-09-10,M,074,93.7,N,Baseball,1
0028,Rebecca,Ramirez,11,3.84,2007-04-01,F,026,97.2,Y,Soccer,3
0029,Steven,Lewis,09,3.11,2009-12-15,M,115,88.9,N,None,0
0030,Danielle,Robinson,12,3.93,2006-06-28,F,005,99.0,Y,Swim,2
0031,Timothy,Walker,10,3.59,2008-03-19,M,057,95.4,Y,Basketbal,1
0032,Brittany,Young,11,3.27,2007-10-07,F,092,92.5,N,Volleybal,2
0033,Eric,Allen,09,3.86,2009-02-13,M,029,98.2,Y,Football,3
0034,Samantha,King,12,3.31,2006-07-31,F,088,92.4,N,None,1
0035,Jeffrey,Wright,10,3.19,2008-12-26,M,110,89.1,N,None,0
0036,Megan,Scott,11,3.91,2007-09-14,F,016,98.5,Y,Cheer,3
0037,Charles,Torres,09,3.43,2009-06-03,M,079,93.9,N,Soccer,1
0038,Victoria,Nguyen,12,3.77,2006-01-18,F,030,97.1,Y,Track,2
0039,Richard,Hill,10,3.68,2008-05-29,M,048,96.2,Y,Baseball,2
0040,Kimberly,Flores,11,3.29,2007-12-12,F,091,92.3,N,None,1
0041,Brian,Green,09,3.97,2009-10-08,M,011,99.4,Y,Basketbal,3
0042,Allison,Adams,12,3.54,2006-04-21,F,059,94.7,N,Soccer,1
0043,Jeremy,Nelson,10,3.12,2008-08-14,M,112,88.6,N,None,0
0044,Tiffany,Baker,11,3.83,2007-02-25,F,025,97.8,Y,Volleybal,2
0045,Jacob,Hall,09,3.35,2009-11-17,M,087,92.9,N,Football,1
0046,Katherine,Rivera,12,3.96,2006-03-09,F,004,99.7,Y,Swim,3
0047,Mark,Campbell,10,3.73,2008-10-31,M,042,96.6,Y,Track,2
0048,Christina,Mitchell,11,3.16,2007-06-22,F,104,89.8,N,Cheer,1
0049,Nicholas,Carter,09,3.89,2009-05-05,M,023,98.3,Y,Baseball,2
0050,Amber,Roberts,12,3.47,2006-11-27,F,064,94.4,N,None,1
0051,Anthony,Gomez,10,3.28,2008-07-15,M,094,92.2,N,Basketbal,2
0052,Kelly,Phillips,11,3.99,2007-03-08,F,001,99.9,Y,Track,4
0053,Kyle,Evans,09,3.23,2009-01-23,M,101,91.1,N,Football,1
0054,Shannon,Turner,12,3.78,2006-09-10,F,031,96.9,Y,Volleybal,2
0055,Tyler,Diaz,10,3.49,2008-04-29,M,070,95.0,N,Soccer,1
0056,Laura,Parker,11,3.62,2007-08-19,F,052,96.1,Y,Cheer,3
0057,Samuel,Cruz,09,3.09,2009-07-04,M,116,88.3,N,None,0
0058,Maria,Edwards,12,3.94,2006-12-02,F,006,99.2,Y,Swim,2
0059,Aaron,Collins,10,3.56,2008-02-07,M,060,95.5,Y,Baseball,1
0060,Andrea,Reyes,11,3.32,2007-11-13,F,089,93.1,N,None,2
0061,Adam,Stewart,09,3.81,2009-03-27,M,035,97.7,Y,Basketbal,3
0062,Erica,Morris,12,3.25,2006-08-20,F,096,91.9,N,Soccer,1
0063,Nathan,Morales,10,3.18,2008-06-11,M,111,89.0,N,None,0
0064,Julie,Murphy,11,3.93,2007-01-24,F,013,98.8,Y,Track,3
0065,Jonathan,Cook,09,3.37,2009-09-15,M,084,93.5,N,Football,1
0066,Christina,Rogers,12,3.84,2006-05-07,F,020,97.4,Y,Volleybal,2
